Model,Resampling,Oversampling Quantity,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
RandomForest,SMOTEENN,60%,0.812299526,0.013227727,0.814363435,0.016968837,0.808892083,0.014651742,0.985016568,0.00119835,0.894473629,0.00782748
RandomForest,SMOTEENN,70%,0.816685476,0.019797679,0.819443452,0.02408506,0.813978033,0.021947563,0.985990901,0.002550503,0.897301527,0.012037921
RandomForest,SMOTEENN,80%,0.807627565,0.000999244,0.814711383,0.003478479,0.806446774,0.000167443,0.985798786,0.000100197,0.892276872,0.000597334
RandomForest,SMOTEENN,90%,0.810349043,0.008924776,0.814574573,0.003104795,0.808100841,0.007815993,0.985308875,0.000855064,0.893545498,0.005308382
RandomForest,SMOTEENN,100%,0.825671156,0.003430674,0.830513158,0.001100086,0.82464713,0.003562513,0.98700587,0.000715072,0.902740206,0.002202466
RandomForest,SWIM-Maha,0%,0.811621512,0.016644717,0.804039072,0.017968896,0.803731347,0.01745726,0.983701378,0.001834155,0.893489683,0.009995678
RandomForest,SWIM-Maha,10%,0.815986824,0.010636019,0.811516351,0.014272619,0.810022375,0.012012054,0.985487779,0.001150133,0.896725559,0.006367701
RandomForest,SWIM-Maha,20%,0.809136245,0.001874437,0.814160135,0.003824704,0.807148296,0.001817218,0.985000337,0.000110743,0.892747728,0.001084253
RandomForest,SWIM-Maha,30%,0.813234838,3.29754E-05,0.820379822,0.002711972,0.812069572,0.000226359,0.986643174,1.63864E-05,0.895752534,2.55991E-05
RandomForest,SWIM-Maha,40%,0.821022524,0.0034383,0.825921615,0.002856018,0.818838888,0.003722519,0.987763026,0.000690833,0.900540518,0.002200576
RandomForest,SWIM-Maha,50%,0.833345222,0.007246396,0.836330026,0.005962485,0.83210256,0.00700431,0.989376582,4.57757E-06,0.908006982,0.003949986
RandomForest,SWIM-Maha,60%,0.828293371,0.011476555,0.831911451,0.012903213,0.827194618,0.012521013,0.989043374,0.001190749,0.905088552,0.00681541
RandomForest,SWIM-Maha,70%,0.821580189,0.003125371,0.829730259,0.007482415,0.822549732,0.005066046,0.989318577,0.000672137,0.901555633,0.002021063
RandomForest,SWIM-Maha,80%,0.837843446,0.001086393,0.843613011,0.001513925,0.838009117,0.000912793,0.990348156,7.54378E-05,0.910909657,0.000625261
RandomForest,SWIM-Maha,90%,0.825958512,0.005046692,0.837436514,0.006744027,0.827911469,0.004428457,0.989633947,8.32647E-05,0.904095771,0.002800118
RandomForest,SWIM-Maha,100%,0.829498992,0.003697841,0.83770437,0.000667508,0.830010471,0.003697155,0.990002177,4.77832E-05,0.906201765,0.001998029
DMLP,BorderlineSMOTE-1,0%,0.913195896,0.009564992,0.915816461,0.009985584,0.912788708,0.010167809,0.995176372,0.00066297,0.953293828,0.005310155
DMLP,BorderlineSMOTE-1,10%,0.907442252,0.002719347,0.912918638,0.005357056,0.907997836,0.003587668,0.994531396,0.000436982,0.949988597,0.001632131
DMLP,BorderlineSMOTE-1,20%,0.910182574,0.00627867,0.910987818,0.006619187,0.909210758,0.006692842,0.994378451,0.000317751,0.951344388,0.003433344
DMLP,BorderlineSMOTE-1,30%,0.914411835,0.000679921,0.916744135,0.000295318,0.913889591,0.000331099,0.995236544,0.000128512,0.953968501,0.000293075
DMLP,BorderlineSMOTE-1,40%,0.914568075,0.012575173,0.918045413,0.013272596,0.914427379,0.013018862,0.995116755,0.001078534,0.953973538,0.007075751
DMLP,BorderlineSMOTE-1,50%,0.912233665,0.006418759,0.916706385,0.008449016,0.912441108,0.006805996,0.99513328,0.00049487,0.95277719,0.00358896
DMLP,BorderlineSMOTE-1,60%,0.910452433,0.004091527,0.913067151,0.006328195,0.910196629,0.005029704,0.994868651,0.000591114,0.951723248,0.002421247
DMLP,BorderlineSMOTE-1,70%,0.906633122,0.009554224,0.910728498,0.011339187,0.906703087,0.01022685,0.994856273,0.000829682,0.949709646,0.005400228
DMLP,BorderlineSMOTE-1,80%,0.906615176,0.001383732,0.910202481,0.001310659,0.90630144,0.000782553,0.994358665,2.45258E-05,0.949473598,0.000712864
DMLP,BorderlineSMOTE-1,90%,0.911133588,0.00258868,0.915550471,0.00452045,0.911031233,0.002488583,0.995347346,0.000145191,0.952309168,0.001422292
DMLP,BorderlineSMOTE-1,100%,0.909910919,0.007372017,0.91354509,0.006641495,0.910387496,0.007232973,0.995187256,0.000443645,0.951587348,0.004067002
DMLP,SMOTE,0%,0.90869184,0.014342945,0.913094916,0.015282493,0.909520766,0.015141312,0.995345421,0.000956015,0.951006084,0.007962572
DMLP,SMOTE,10%,0.907590866,0.009965968,0.911010063,0.01120438,0.907778161,0.010633256,0.994969133,0.000695032,0.950263663,0.005549321
DMLP,SMOTE,20%,0.908123856,0.001489949,0.911904866,0.005540293,0.908026221,0.003698692,0.994846752,0.000697012,0.950496643,0.001112705
DMLP,SMOTE,30%,0.909093264,0.009011364,0.914354608,0.011221429,0.909263416,0.009311235,0.994969227,0.000908221,0.951052841,0.005147815
DMLP,SMOTE,40%,0.918391874,0.009846965,0.922061162,0.009007481,0.918288022,0.009620326,0.995379191,0.000918283,0.956099479,0.005566789
DMLP,SMOTE,50%,0.912367922,0.004915014,0.91651292,0.003651856,0.912477451,0.004493235,0.994865702,0.000416731,0.95272134,0.002765757
DMLP,SMOTE,60%,0.908543675,0.007369774,0.913271687,0.008929593,0.908697886,0.008164197,0.994938652,0.000693285,0.950753803,0.004187389
DMLP,SMOTE,70%,0.917569284,0.008478375,0.920170618,0.009314778,0.917440827,0.009091332,0.995160051,0.000998732,0.955569363,0.004894331
DMLP,SMOTE,80%,0.914968603,0.006696694,0.91793861,0.007964018,0.91489399,0.007291994,0.994817514,0.000685652,0.954052823,0.003820197
DMLP,SMOTE,90%,0.909495587,0.004226681,0.914218138,0.007446312,0.909856538,0.00529358,0.99487547,0.000311537,0.95122584,0.002359252
DMLP,SMOTE,100%,0.911685421,0.005597515,0.915361666,0.007407041,0.911233146,0.005934865,0.995007305,0.000389112,0.952431708,0.0031101
DMLP,BorderlineSMOTE-2,0%,0.91005729,0.013251393,0.913341661,0.012122137,0.910119693,0.013099863,0.995145945,0.000782406,0.95162853,0.007302799
DMLP,BorderlineSMOTE-2,10%,0.916611988,0.00834008,0.919646144,0.008616432,0.916367977,0.008869352,0.995446691,0.000548733,0.955207676,0.004608987
DMLP,BorderlineSMOTE-2,20%,0.909913163,0.008739261,0.913374758,0.010402246,0.909257236,0.009769287,0.994882038,0.000871062,0.951440496,0.004985664
DMLP,BorderlineSMOTE-2,30%,0.911680486,0.002589577,0.916216089,0.005108875,0.911486098,0.003536745,0.995005562,0.000398708,0.952431522,0.00154349
DMLP,BorderlineSMOTE-2,40%,0.906494378,0.00832348,0.912261416,0.007622404,0.907217592,0.007479864,0.995076115,0.000658615,0.949744457,0.004674693
DMLP,BorderlineSMOTE-2,50%,0.907430139,0.004663773,0.910156697,0.003995161,0.906381947,0.005001987,0.994584712,0.000141483,0.950005184,0.002373741
DMLP,BorderlineSMOTE-2,60%,0.911001575,0.005459669,0.914151584,0.004520934,0.910572552,0.004540987,0.994817775,0.000732389,0.9519844,0.00320309
DMLP,BorderlineSMOTE-2,70%,0.911687664,0.00696476,0.914557758,0.007608835,0.911388774,0.007257567,0.994916964,0.000697582,0.952387845,0.003971772
DMLP,BorderlineSMOTE-2,80%,0.9036198,0.006267902,0.907935708,0.008588729,0.903435282,0.006820006,0.994466081,0.001016114,0.947951149,0.003772028
DMLP,BorderlineSMOTE-2,90%,0.914149153,0.007242246,0.916899178,0.008222614,0.913620135,0.007208677,0.995289971,0.000724619,0.95385099,0.004125668
DMLP,BorderlineSMOTE-2,100%,0.898304819,0.016786937,0.904196659,0.017188777,0.899193651,0.01731814,0.994451985,0.001338654,0.945121073,0.009467741
DMLP,SVMSMOTE,0%,0.915523576,0.011619672,0.920755006,0.012306775,0.916419557,0.012252096,0.995557863,0.000901677,0.954685833,0.006490911
DMLP,SVMSMOTE,10%,0.900618143,0.010091252,0.904052699,0.011222767,0.900253306,0.009994765,0.994717738,0.000413716,0.946485484,0.005499581
DMLP,SVMSMOTE,20%,0.917301667,0.012032762,0.920858874,0.011864823,0.916978925,0.012824877,0.995433276,0.000585116,0.955550503,0.00654834
DMLP,SVMSMOTE,30%,0.911548024,0.005187117,0.915858541,0.008269154,0.911642347,0.005829253,0.995040193,0.000596505,0.952376525,0.002995209
DMLP,SVMSMOTE,40%,0.918942809,0.012308903,0.922658416,0.011135998,0.918751205,0.012365173,0.99547641,0.000597488,0.956424827,0.006692779
DMLP,SVMSMOTE,50%,0.920029875,0.008208963,0.923906217,0.010807628,0.920082006,0.008486922,0.995536872,0.000699806,0.957030926,0.004606
DMLP,SVMSMOTE,60%,0.919208631,0.00766072,0.921288125,0.010538463,0.918536359,0.009447332,0.99552285,0.000698334,0.956598071,0.00432174
DMLP,SVMSMOTE,70%,0.917705335,0.008068425,0.920383768,0.010652122,0.91705873,0.009100896,0.995393995,0.000741234,0.955752892,0.0045574
DMLP,SVMSMOTE,80%,0.908271572,0.008189672,0.909631798,0.010242364,0.907317501,0.009059575,0.994624849,0.000809203,0.950460034,0.004671752
DMLP,SVMSMOTE,90%,0.911826408,0.008195504,0.916385728,0.010515098,0.912195674,0.008570965,0.995152521,0.000835996,0.952570883,0.004681048
DMLP,SVMSMOTE,100%,0.917829722,0.000548805,0.921422512,0.002708679,0.917141611,0.002060415,0.995629657,0.000538272,0.955938539,0.000544202
DMLP,RandomOversampler,0%,0.906489443,0.005315542,0.906652427,0.006583412,0.904824506,0.006091741,0.994651276,0.00030049,0.949544053,0.002927459
DMLP,RandomOversampler,10%,0.91837662,0.000549702,0.920684102,0.001710961,0.917583208,0.001415068,0.99513725,0.000359068,0.955986805,0.000458578
DMLP,RandomOversampler,20%,0.912370614,0.006555708,0.917216758,0.00925624,0.912728829,0.007340909,0.995372243,0.000810204,0.952963361,0.003811572
DMLP,RandomOversampler,30%,0.915788949,0.00669804,0.919854107,0.009580242,0.915317696,0.007837453,0.995176489,0.000738035,0.954652706,0.003845177
DMLP,RandomOversampler,40%,0.90703993,0.007504031,0.914057399,0.008669984,0.908031032,0.00803997,0.994906839,0.000537634,0.949950914,0.004186252
DMLP,RandomOversampler,50%,0.902521966,0.003805067,0.907701616,0.004870826,0.902856003,0.004084676,0.994732457,9.33747E-05,0.947504131,0.002041836
DMLP,RandomOversampler,60%,0.907712561,0.000805654,0.913914887,0.003994585,0.907494396,0.002742819,0.994828755,0.000623673,0.950272877,0.000719584
DMLP,RandomOversampler,70%,0.914559551,0.007379644,0.91892481,0.010613424,0.915159575,0.008352642,0.995537733,0.000730319,0.954183574,0.004199734
DMLP,RandomOversampler,80%,0.912112419,0.015852522,0.915086221,0.016524898,0.912040336,0.015647833,0.995067015,0.000773324,0.952654412,0.008649349
DMLP,RandomOversampler,90%,0.907451674,0.008461775,0.912412912,0.01086325,0.90782497,0.009823402,0.994698594,0.001162127,0.950066256,0.004984647
DMLP,RandomOversampler,100%,0.904163108,0.004081208,0.90867325,0.006423656,0.904369324,0.004786767,0.99493803,0.000373045,0.948463183,0.002318405
DMLP,SMOTETomek,0%,0.917303013,0.012853109,0.920390782,0.015530862,0.917469552,0.013957428,0.995631621,0.001129029,0.955645342,0.007237321
DMLP,SMOTETomek,10%,0.908407623,0.007779723,0.908503746,0.008824022,0.906759514,0.00827113,0.99451454,0.000248613,0.950478289,0.004188885
DMLP,SMOTETomek,20%,0.917034051,0.015587149,0.918113247,0.015251822,0.915752765,0.016225769,0.995064379,0.000931872,0.955221999,0.008565954
DMLP,SMOTETomek,30%,0.90785579,0.004770887,0.913346331,0.007098572,0.908340928,0.006117681,0.99515569,0.000461887,0.950501274,0.002718094
DMLP,SMOTETomek,40%,0.913595526,0.003139615,0.917849228,0.005284076,0.913240398,0.004763602,0.99491542,0.000270283,0.953387644,0.001767686
DMLP,SMOTETomek,50%,0.919760464,0.010669555,0.9238813,0.01092934,0.920440889,0.010655216,0.995627378,0.000759797,0.956928321,0.005915664
DMLP,SMOTETomek,60%,0.919211323,0.009301413,0.921899819,0.009487907,0.918548076,0.009828938,0.995484503,0.000632977,0.95657726,0.005143993
DMLP,SMOTETomek,70%,0.908011134,0.016119242,0.911211769,0.017148547,0.907422984,0.017020854,0.994922611,0.001269426,0.950441734,0.00904319
DMLP,SMOTETomek,80%,0.909771279,0.005594375,0.915465162,0.003982376,0.910540397,0.005185521,0.995264143,0.000711081,0.951554542,0.003265604
DMLP,SMOTETomek,90%,0.910867318,0.006963414,0.916766451,0.004236582,0.911610427,0.006373502,0.994671844,0.000143112,0.951840498,0.003569902
DMLP,SMOTETomek,100%,0.914841524,0.012575622,0.919547592,0.011499109,0.915532365,0.012056743,0.995430163,0.000678165,0.954265154,0.006884128
DMLP,SMOTEENN,0%,0.915370028,0.001365114,0.91749583,0.001238428,0.914337757,0.001587038,0.995108456,0.000496303,0.954406743,0.000949667
DMLP,SMOTEENN,10%,0.889270685,0.010482807,0.897884388,0.012623362,0.890837962,0.011440961,0.994361836,0.000510862,0.940334372,0.005784111
DMLP,SMOTEENN,20%,0.899110809,0.008037918,0.909740039,0.009759651,0.901435902,0.008492244,0.994816442,0.000437012,0.945745239,0.004435219
DMLP,SMOTEENN,30%,0.898162935,0.01364205,0.903499335,0.014213473,0.89875324,0.014123262,0.994037775,0.001250175,0.944862193,0.00777022
DMLP,SMOTEENN,40%,0.897603026,0.005711134,0.906663741,0.012439936,0.898553083,0.007201736,0.994645013,0.001178356,0.944875859,0.003565678
DMLP,SMOTEENN,50%,0.910445704,1.02067E-05,0.919007656,0.003348836,0.911950707,0.001135671,0.995515498,0.00044156,0.952030862,0.0002058
DMLP,SMOTEENN,60%,0.907035444,0.004769541,0.912562311,0.009349565,0.907167697,0.006409583,0.995075647,0.000905578,0.950034007,0.00293013
DMLP,SMOTEENN,70%,0.90401943,0.000157474,0.910451257,0.004714593,0.904922459,0.001802368,0.994981237,0.000369462,0.948410409,9.3481E-05
DMLP,SMOTEENN,80%,0.903884276,0.000799373,0.908212053,0.002672049,0.903714086,0.0014357,0.994527732,0.000119347,0.948123329,0.000476137
DMLP,SMOTEENN,90%,0.900597954,0.002213949,0.907764589,0.001335447,0.901159298,0.001165998,0.994454818,9.13722E-05,0.946362784,0.001119752
DMLP,SMOTEENN,100%,0.910597458,0.009150556,0.912267131,0.009874018,0.909738008,0.009584796,0.995059712,0.000593459,0.951881612,0.005066677
DMLP,SWIM-Maha,0%,0.915370028,0.001365114,0.91749583,0.001238428,0.914337757,0.001587038,0.995108456,0.000496303,0.954406743,0.000949667
DMLP,SWIM-Maha,10%,0.907838293,0.005893621,0.910211845,0.004736569,0.906855928,0.00524735,0.994849321,7.62226E-05,0.950343395,0.003048407
DMLP,SWIM-Maha,20%,0.907715701,0.002719796,0.913308732,0.005563154,0.908045645,0.003154563,0.994963722,0.000193412,0.950338056,0.001516124
DMLP,SWIM-Maha,30%,0.90649034,0.00586244,0.915328184,0.010269243,0.90860436,0.0070329,0.995447319,0.000728314,0.949924185,0.003419199
DMLP,SWIM-Maha,40%,0.911401653,0.000692259,0.915167103,0.000321713,0.911382866,0.000129187,0.994896703,0.000127467,0.952234384,0.000300636
DMLP,SWIM-Maha,50%,0.914962322,0.00286841,0.92147739,0.002843584,0.915871713,0.002621742,0.995695019,0.000448871,0.954474612,0.001711288
DMLP,SWIM-Maha,60%,0.913855964,0.004789955,0.919518038,0.002618332,0.914677304,0.004271608,0.995579186,4.06748E-05,0.953839415,0.002480296
DMLP,SWIM-Maha,70%,0.914282962,0.005465053,0.918503833,0.006943037,0.913854511,0.006253096,0.995295032,0.000640248,0.953926002,0.003157849
