Model,Resampling,Oversampling Quantity,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
LDA,BorderlineSMOTE-1,30%,0.898824726,0.004041975,0.920179654,0.004207285,0.902921512,0.004087855,0.996132055,0.000226846,0.946226123,0.002198707
LDA,BorderlineSMOTE-1,40%,0.898140171,0.003653463,0.919274023,0.002128235,0.901991974,0.003683344,0.996025211,0.000138739,0.94581533,0.001949292
LDA,BorderlineSMOTE-1,50%,0.896636505,0.003755979,0.917421858,0.00229217,0.90050231,0.00369218,0.9959427,0.000160161,0.944983999,0.002006346
LDA,BorderlineSMOTE-1,60%,0.897319938,0.003859293,0.917619927,0.003168866,0.901221623,0.003808054,0.995949704,0.00022135,0.94534732,0.002075955
LDA,BorderlineSMOTE-1,70%,0.89390221,0.003945035,0.913953134,0.00288816,0.897476828,0.003938321,0.995710133,0.000197044,0.943431684,0.002132203
LDA,BorderlineSMOTE-1,80%,0.893628612,0.002146198,0.913864268,0.003026215,0.896862858,0.00279146,0.995663552,0.000295622,0.943266784,0.001181444
LDA,BorderlineSMOTE-1,90%,0.890073991,0.004305872,0.910260578,0.005054172,0.893170905,0.005027158,0.995479756,0.000375267,0.941300137,0.00239713
LDA,BorderlineSMOTE-1,100%,0.890483733,0.003284264,0.911297887,0.001099259,0.893453217,0.003230613,0.99543275,0.000228794,0.941495466,0.001754827
LDA,BorderlineSMOTE-2,0%,0.91194966,0.004155951,0.917129098,0.004692305,0.912970287,0.004382425,0.995229281,0.000398082,0.952677747,0.00231967
LDA,BorderlineSMOTE-2,10%,0.902925795,0.002371815,0.92114254,0.00227642,0.907134093,0.002312721,0.996114155,0.000202005,0.948375355,0.00133006
LDA,BorderlineSMOTE-2,20%,0.902516333,0.004365796,0.922653319,0.003555224,0.906629168,0.004284786,0.996237055,0.000191405,0.948216882,0.002364825
LDA,BorderlineSMOTE-2,30%,0.898824726,0.004041975,0.920179654,0.004207285,0.902921512,0.004087855,0.996132055,0.000226846,0.946226123,0.002198707
LDA,BorderlineSMOTE-2,40%,0.898140171,0.003653463,0.919274023,0.002128235,0.901991974,0.003683344,0.996025211,0.000138739,0.94581533,0.001949292
LDA,BorderlineSMOTE-2,50%,0.896636505,0.003755979,0.917421858,0.00229217,0.90050231,0.00369218,0.9959427,0.000160161,0.944983999,0.002006346
LDA,BorderlineSMOTE-2,60%,0.897319938,0.003859293,0.917619927,0.003168866,0.901221623,0.003808054,0.995949704,0.00022135,0.94534732,0.002075955
LDA,BorderlineSMOTE-2,70%,0.89390221,0.003945035,0.913953134,0.00288816,0.897476828,0.003938321,0.995710133,0.000197044,0.943431684,0.002132203
